snapshot_year,neuron_x,neuron_y,ps_cluster,optimal_k,db_score,is_active
2010,5,4,1,15,0.9534,1
2010,-3,2,8,15,0.9534,1
2010,1,8,9,15,0.9534,1
2010,1,2,10,15,0.9534,1
2010,3,1,4,15,0.9534,1
2010,1,-3,15,15,0.9534,1
2010,2,5,10,15,0.9534,0
2010,4,-1,4,15,0.9534,1
2010,-4,-1,7,15,0.9534,1
2010,4,-4,12,15,0.9534,1
2010,3,2,1,15,0.9534,0
2010,4,0,4,15,0.9534,1
2010,0,-2,14,15,0.9534,1
2010,3,-3,12,15,0.9534,1
2010,-1,-2,14,15,0.9534,1
2010,0,5,10,15,0.9534,0
2010,-3,6,8,15,0.9534,0
2010,-1,5,10,15,0.9534,1
2010,1,-5,13,15,0.9534,1
2010,5,1,2,15,0.9534,1
2010,1,6,9,15,0.9534,0
2010,4,3,1,15,0.9534,1
2010,4,4,1,15,0.9534,1
2010,-2,-1,11,15,0.9534,1
2010,-3,7,10,15,0.9534,0
2010,5,2,2,15,0.9534,0
2010,1,7,9,15,0.9534,0
2010,5,-3,12,15,0.9534,1
2010,3,6,4,15,0.9534,1
2010,6,1,2,15,0.9534,1
2010,-4,3,8,15,0.9534,1
2010,-2,0,6,15,0.9534,1
2010,7,0,2,15,0.9534,0
2010,3,7,4,15,0.9534,1
2010,6,2,2,15,0.9534,1
2010,2,-1,15,15,0.9534,1
2010,1,-2,15,15,0.9534,1
2010,-2,3,8,15,0.9534,1
2010,2,0,15,15,0.9534,1
2010,2,-4,13,15,0.9534,1
2010,-2,4,8,15,0.9534,1
2010,4,1,2,15,0.9534,1
2010,-3,5,8,15,0.9534,0
2010,5,6,4,15,0.9534,0
2010,0,9,9,15,0.9534,1
2010,1,5,10,15,0.9534,0
2010,3,-2,15,15,0.9534,1
2010,-4,1,6,15,0.9534,1
2010,0,-1,11,15,0.9534,0
2010,4,2,1,15,0.9534,1
2010,4,-3,12,15,0.9534,1
2010,5,7,3,15,0.9534,1
2010,-1,-1,11,15,0.9534,1
2010,6,6,3,15,0.9534,1
2010,2,3,10,15,0.9534,0
2010,3,5,4,15,0.9534,1
2010,0,-4,13,15,0.9534,1
2010,0,0,11,15,0.9534,1
2010,2,4,10,15,0.9534,1
2010,-4,2,8,15,0.9534,1
2010,-1,0,11,15,0.9534,1
2014,-2,1,14,14,0.8644,1
2014,5,-2,2,14,0.8644,1
2014,0,3,14,14,0.8644,1
2014,4,6,3,14,0.8644,0
2014,0,4,14,14,0.8644,1
2014,-1,3,14,14,0.8644,1
2014,-2,2,14,14,0.8644,1
2014,5,5,6,14,0.8644,1
2014,-1,4,14,14,0.8644,1
2014,6,-2,1,14,0.8644,0
2014,7,2,1,14,0.8644,0
